5	1507.44172765377629241781
10	1092.79447841415538732326
15	863.33234784500419708843
20	783.27026146424445414005
25	764.34515652521731245326
30	713.31817329128545686526
35	705.15029786390930712797
40	679.05258552216803234904
45	658.26173922945743741262
50	643.39428039843812970532
55	634.55551331931781015143
60	608.79852462134813466447
65	628.49941610500637065155
70	645.23905792378845407483
75	607.45297164793932526564
80	614.74345491971742131555
85	630.30189797047965876902
90	621.99367326136465297159
95	619.01129170386756024522
100	625.47462843345667830050
