1	43	224
1	25	73
1	24	49
1	81	34
1	54	5
2	90	1349
2	43	362
2	70	249
2	77	196
3	54	331
4	43	423
4	90	289
4	70	102
5	70	229
6	33	72
7	33	8
8	33	7
8	77	1
9	69	35
10	69	220
10	26	27
10	45	17
10	56	4
11	77	101
11	70	47
11	31	36
11	54	18
11	19	13
11	24	10
11	66	1
12	41	2383
12	70	269
12	24	59
12	72	1
13	84	127
13	81	1
14	70	75
14	9	7
15	43	680
15	90	89
15	70	74
16	80	185
16	13	70
16	65	1
17	40	19
17	39	7
18	70	23
18	35	22
18	8	10
19	40	675
19	80	338
19	43	72
20	40	12
21	80	244
21	13	106
21	78	7
21	52	2
22	19	116
22	71	63
22	43	25
22	59	1
23	43	110
23	12	18
23	8	11
24	43	812
24	13	153
24	90	138
24	67	12
25	19	90
25	56	20
25	67	3
26	80	887
26	13	3
27	80	742
27	66	1
28	61	18
28	72	15
28	6	2
28	71	1
29	56	35
29	19	30
29	43	14
29	9	4
30	43	19
30	61	7
30	24	1
31	13	157
31	43	94
31	70	64
31	60	3
31	9	1
32	43	677
32	13	28
32	78	25
33	43	734
33	13	47
34	43	244
34	56	133
35	87	53
35	17	52
35	43	7
36	43	762
36	90	135
36	56	24
36	12	20
37	43	780
37	1	231
37	56	56
37	63	2
38	43	874
38	56	133
38	5	2
39	57	148
39	56	27
39	43	22
39	12	9
39	20	2
40	43	158
40	16	124
40	57	117
40	48	1
41	65	318
42	43	994
42	90	624
43	43	1148
43	90	163
44	43	1087
45	21	66
45	19	33
45	7	33
45	71	28
45	43	23
45	2	2
46	1	42
46	84	31
47	67	50
47	84	33
48	43	447
48	84	32
48	9	11
48	45	5
48	56	4
49	56	196
49	84	73
49	42	9
49	10	1
49	8	1
49	6	1
50	19	6
50	4	6
51	83	15
52	83	3
53	83	15
54	83	9
55	83	23
55	86	1
56	83	6
57	83	6
58	83	3
59	4	4
59	83	1
60	83	15
61	83	7
62	83	7
63	83	29
64	83	9
65	83	12
66	83	6
67	83	12
68	83	3
69	83	25
70	83	18
70	20	12
71	83	7
72	83	14
73	83	6
74	83	6
75	83	6
76	83	6
77	83	6
78	83	37
79	83	27
80	83	21
81	83	57
82	4	146
82	83	43
82	63	38
83	83	37
84	83	25
85	83	33
86	83	25
87	83	33
88	83	29
89	83	35
90	83	21
91	83	25
92	83	25
93	83	29
94	83	21
95	83	28
95	29	10
95	89	7
96	83	25
97	83	37
98	83	25
99	83	25
100	83	51
101	83	25
102	83	25
103	83	39
104	83	21
105	83	24
105	20	1
106	83	49
107	19	28
107	83	3
108	83	27
109	83	42
109	20	15
110	83	33
111	83	25
112	83	21
113	83	27
114	83	29
115	83	28
115	19	1
116	83	6
117	83	6
118	83	13
119	83	6
120	83	16
121	83	9
122	19	6
122	83	1
123	83	9
124	83	3
125	83	7
125	20	1
125	5	1
126	83	3
127	59	198
127	13	42
128	17	101
128	85	17
129	67	163
129	59	43
130	67	162
130	59	28
131	27	513
131	71	3
132	59	33
133	59	4
133	46	1
133	12	1
134	17	91
134	54	6
134	89	3
134	63	3
135	54	331
135	76	1
136	59	11
136	13	10
137	71	1686
137	13	148
137	29	48
138	59	457
138	34	66
139	46	261
139	59	46
139	13	32
140	59	1620
140	13	44
140	32	1
141	59	13
142	75	183
142	42	2
143	84	129
144	59	1195
144	9	343
145	17	52
146	26	133
146	71	5
146	62	1
147	79	3
147	46	3
147	8	1
148	59	811
149	25	11
149	42	8
150	88	18
150	21	6
150	9	6
150	85	4
150	13	4
150	48	1
151	88	27
151	55	11
151	3	3
152	5	13
152	71	2
153	13	23
153	1	8
153	88	6
154	85	23
154	88	11
154	7	1
154	1	1
155	88	35
155	85	25
156	88	3
156	7	3
157	45	10
157	37	6
157	88	3
158	88	38
158	45	6
158	48	1
159	88	23
159	85	4
159	4	2
160	88	19
160	73	4
160	3	4
160	35	1
161	57	47
161	25	46
161	80	1
161	21	1
161	11	1
162	4	42
162	20	4
163	45	7
163	88	2
164	5	9
165	25	6
166	5	25
166	88	1
167	64	9
167	85	6
167	41	4
167	88	3
168	53	52
169	90	90
169	25	1
170	70	19
170	30	16
171	30	90
171	70	46
171	29	23
171	7	9
172	30	638
172	70	8
172	67	1
173	30	940
173	70	123
173	24	53
174	70	20
174	30	18
174	59	2
175	64	24
176	44	43
176	9	18
176	70	8
177	9	87
177	64	41
177	6	3
178	70	109
179	9	20
179	17	2
180	64	10
181	77	7
182	69	57
182	90	1
183	36	16
183	70	7
184	70	7
185	24	21
186	77	14
186	88	8
186	12	6
186	85	4
186	64	3
187	33	10
188	77	10
189	45	11
189	70	2
190	24	9
191	45	108
192	37	9
192	45	4
193	77	10
193	37	9
194	69	13
194	70	2
195	77	10
196	77	7
197	64	137
198	42	61
198	6	12
199	75	11
200	77	68
201	77	139
202	45	9
202	64	8
203	70	87
204	24	46
205	81	5
206	46	24
206	70	7
206	19	1
207	5	8
207	81	4
208	81	16
209	81	5
210	77	4
210	34	4
210	81	3
211	9	104
211	1	55
212	54	331
213	26	544
213	59	8
213	7	2
213	42	1
214	26	12
214	34	8
214	86	7
215	84	128
216	86	2377
216	24	462
216	70	414
216	77	158
216	9	75
217	33	23
217	9	16
218	53	52
219	12	465
219	24	82
219	72	12
219	33	1
220	24	67
221	33	278
221	47	2
222	81	200
223	76	2543
223	70	335
223	77	61
224	24	48
224	12	12
225	33	1
225	19	1
225	9	1
226	69	954
226	81	1
227	12	1662
227	70	314
227	77	92
228	54	331
229	69	1853
229	24	441
229	10	1
230	77	170
231	69	435
232	24	28
232	69	3
233	24	27
233	33	24
234	71	1681
234	24	457
234	70	173
234	77	160
235	33	34
236	69	1396
237	69	1622
238	24	139
238	81	130
238	21	5
239	69	203
239	71	1
240	24	201
240	53	132
240	81	31
240	54	4
241	77	186
241	70	155
242	33	374
242	47	1
243	84	128
244	24	96
244	75	1
245	33	323
246	69	882
247	5	136
247	24	78
247	81	46
248	24	449
248	69	89
249	44	31
249	6	1
250	44	28
251	73	129
251	85	35
252	85	447
252	88	63
253	22	23
254	13	333
255	85	309
255	42	20
255	13	7
256	19	74
257	85	50
257	13	35
257	45	19
258	71	888
258	24	680
258	69	300
259	13	88
259	45	32
260	13	7
260	44	2
260	61	1
261	44	63
261	19	7
262	13	1637
262	85	564
262	34	108
262	9	21
262	22	12
263	25	439
263	85	282
264	45	43
265	44	32
266	19	25
266	7	8
267	72	2329
268	44	63
268	13	5
269	34	724
269	85	119
269	61	1
270	85	241
270	66	47
270	9	38
270	34	1
271	13	12
271	20	3
272	28	2634
272	13	61
273	36	72
273	42	14
273	9	7
273	70	1
274	36	62
274	29	3
275	22	76
275	83	4
276	22	92
276	34	1
277	22	55
277	43	1
278	22	33
279	44	28
280	44	94
280	9	9
280	19	7
280	29	1
281	44	69
281	13	52
282	54	331
283	44	43
284	44	54
285	19	13
286	13	37
286	82	6
287	13	26
288	13	29
288	23	1
289	19	32
290	4	124
290	25	30
