5	2456.61905342803922143590
10	1785.16535392442946931520
15	1556.34348756254210658212
20	1403.66368818549737995578
25	1288.18374619659100068201
30	1247.87105098995419875580
35	1178.05109706105596978856
40	1138.06382575539982182288
45	1073.65491917313817216979
50	1064.51434472403799338243
55	1019.68276552237721766867
60	1074.89018099091753213039
65	1016.11739943894257879587
70	1045.12401837518514553366
75	1028.79953233875331658190
80	1027.13439782671219779335
85	1052.35774199032896391400
90	1045.26452661649538562536
95	1040.77331241581717826712
100	1028.33222959246141763540
