1	2	73
1	31	10
1	4	6
1	19	5
1	12	2
1	37	1
1	20	1
2	19	82
2	31	6
3	2	88
3	33	2
4	3	447
4	2	2
4	40	1
5	18	87
6	18	29
6	22	7
6	10	1
7	14	416
8	19	61
8	14	12
8	40	1
9	18	93
9	24	14
10	18	54
10	13	1
11	16	917
12	19	59
12	4	1
13	20	174
14	5	457
15	10	35
15	36	28
16	19	74
16	31	2
16	2	1
17	24	10
18	36	20
18	30	14
18	10	14
19	24	24
19	22	8
20	22	218
20	24	20
21	4	437
21	19	59
21	8	34
21	35	11
21	11	4
22	24	27
22	22	10
23	36	15
23	10	10
24	30	127
25	25	10
26	28	618
26	12	50
27	25	10
27	28	2
28	25	10
29	25	107
29	28	15
29	33	7
29	10	2
30	20	654
30	34	92
30	33	1
30	8	1
31	19	24
31	35	2
32	14	753
32	19	15
33	19	74
34	7	376
34	37	17
34	12	4
34	36	1
35	17	28
35	34	1
35	6	1
36	17	431
36	19	28
37	1	153
38	33	186
38	18	1
38	7	1
39	36	198
40	27	31
40	25	1
40	2	1
41	37	2
42	29	43
42	1	2
42	9	1
43	38	32
44	23	331
44	36	4
45	38	13
45	39	1
45	5	1
46	38	84
46	6	1
47	19	11
47	40	3
47	18	1
48	6	15
49	38	73
49	6	57
49	12	23
50	13	15
51	4	194
51	8	45
52	24	47
52	10	34
53	39	125
53	13	13
53	35	1
53	9	1
54	35	11
54	24	5
54	18	2
55	11	298
55	24	44
55	2	4
56	35	116
57	35	9
58	22	4
58	24	3
59	24	58
59	29	25
60	31	367
61	21	475
61	13	36
61	24	15
62	24	43
62	30	1
63	13	45
64	10	28
64	8	1
65	35	133
65	13	11
66	8	451
66	24	96
67	29	37
67	24	35
67	13	2
68	35	149
68	26	21
68	24	18
69	6	52
69	32	1
69	18	1
70	10	28
70	24	26
70	34	1
71	35	53
71	13	50
71	24	16
72	24	168
73	4	67
73	8	35
73	40	1
74	26	20
74	35	5
74	24	1
75	24	171
75	10	16
76	35	137
77	6	28
77	9	2
78	12	12
79	6	22
80	12	15
81	12	127
82	9	692
82	12	271
83	6	55
84	25	96
85	12	13
85	37	2
85	10	1
86	12	472
86	15	288
86	40	1
87	12	8
88	12	507
88	24	4
89	6	6
90	12	82
90	11	64
90	25	9
91	9	183
91	12	176
91	1	3
91	39	1
92	18	9
93	38	6
94	38	177
94	36	19
94	23	4
95	27	20
96	19	158
97	40	88
97	19	10
97	24	2
98	40	185
98	19	14
99	40	171
100	26	421
100	40	126
101	39	142
101	13	10
101	19	3
102	37	40
102	18	10
102	22	9
103	27	2
104	2	165
104	26	48
104	40	13
104	17	2
105	26	70
106	26	10
107	26	326
107	40	4
107	1	2
108	17	4
108	38	3
109	38	81
109	18	1
110	38	84
111	20	4
112	24	6
112	5	3
113	34	5
113	27	5
114	34	13
114	37	1
115	34	21
116	34	14
117	34	59
118	34	57
118	9	3
119	34	13
120	25	38
121	38	5
121	39	2
122	37	276
122	12	92
123	3	458
123	7	1
123	4	1
