5	897.07193200761654424237
10	632.00997260486914526009
15	542.67069499469731513188
20	527.47304963050358526150
25	465.41793410550852419975
30	463.45410906922414188252
35	435.99098090031775486607
40	433.34884920839607034121
45	437.61290658121746213611
50	450.97193745199972017525
55	446.64854906279860857485
60	434.79549312943715735862
65	442.93068757704532759617
70	448.66716365496201204175
75	463.56179896821971211721
80	451.37788921414437248077
85	463.33787287250110376948
90	471.73150045831468360212
95	492.10519071302855835741
100	482.77215185756139246584
