5	687.67467840781900478765
10	462.82342202665754500616
15	387.93887083025890372051
20	382.14890610668281334697
25	341.79467337297638938291
30	363.99600627590706335203
35	333.00853405481697761130
40	335.50416322442648821194
45	350.88317868986989805806
50	339.40228953423063012568
55	354.94616022934936794995
60	350.69767989042987302742
65	391.05176073912696142932
70	369.92263152013728551058
75	361.08930871852483579860
80	370.88294644319300049193
85	393.29206956222275627407
90	380.93916071212177324712
95	396.74990900170465623836
100	391.65533890515280033610
